1,101,5.0
1,102,3.0
1,103,4.5
1,104,2.0
1,105,4.0
2,101,2.5
2,102,4.0
2,103,1.5
2,104,3.5
2,105,5.0
2,106,4.5
3,101,3.0
3,102,2.0
3,103,4.0
3,104,5.0
3,105,3.5
3,106,2.5
3,107,4.5
4,101,5.0
4,102,1.0
4,103,3.5
4,104,4.0
4,105,2.5
4,106,3.0
4,107,4.5
5,101,4.0
5,102,3.5
5,103,2.0
5,104,5.0
5,105,4.5
5,106,3.0
5,107,1.5
6,101,3.0
6,102,4.5
6,103,5.0
6,104,2.5
6,105,3.5
6,106,4.0
6,107,2.0
7,101,4.5
7,102,3.0
7,103,2.5
7,104,4.0
7,105,5.0
7,106,1.5
7,107,3.5
8,101,2.0
8,102,5.0
8,103,3.5
8,104,4.5
8,105,3.0
